hotel_name,rating,price,room_type,bed,amenities
Huashang Hotel (Beijing Sanyuan Bridge Yansha),4.6,After tax US$193.80,Business Triple Room,3 single beds,Wi-Fi in designated areas|Airport pickup service|Restaurant|Front desk (24 hours)|Foot massage|Café|Non-smoking floor|Currency exchange|ATM|Luggage storage|Wake-up call|Designated Smoking Area
Furun Hotel (Beijing Dongsi),4.8,After tax US$147.90,Standard Room,2 single beds,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Luggage storage|Wake-up call
Qinglian Furun Hotel (Beijing Caishikou),4.7,After tax US$125.80,Standard Room,2 single beds,Wi-Fi in designated areas|Restaurant|Luggage storage|Wake-up call
Qushui Lanting Resort Beijing,4.7,After tax US$333.20,Classical Single Room,1 queen bed,Wi-Fi in designated areas|Airport pickup service|Restaurant|Front desk (24 hours)|Massage|Sauna|Foot massage|Spa|Bar|Non-smoking floor|ATM|Luggage storage|Wake-up call|Karaoke|Teahouse|Designated Smoking Area
Furun Hotel (Beijing Dongsi),4.8,After tax US$147.90,Standard Room,2 single beds,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Luggage storage|Wake-up call
Qinglian Furun Hotel (Beijing Caishikou),4.7,After tax US$125.80,Standard Room,2 single beds,Wi-Fi in designated areas|Restaurant|Luggage storage|Wake-up call
Qushui Lanting Resort Beijing,4.7,After tax US$333.20,Classical Single Room,1 queen bed,Wi-Fi in designated areas|Airport pickup service|Restaurant|Front desk (24 hours)|Massage|Sauna|Foot massage|Spa|Bar|Non-smoking floor|ATM|Luggage storage|Wake-up call|Karaoke|Teahouse|Designated Smoking Area
Hainan Hotel,4.5,After tax US$205.70,Standard Twin Room,2 single beds,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Non-smoking floor|Luggage storage|Wake-up call|Teahouse
Railway Hotel (Beijing West Railway Station),4.7,After tax US$108.80,Boutique Double Room,1 queen bed,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Non-smoking floor|Luggage storage|Wake-up call
Shiyuan Pushen Hotel,4.5,After tax US$516.80,Guestroom (2 beds),2 single beds,Wi-Fi in designated areas|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Massage|Sauna|Hot spring|Foot massage|Spa|Non-smoking floor|Luggage storage|Wake-up call|Karaoke|Teahouse|Designated Smoking Area
